id;email;nome;ddd;telefone;notificar;aceito;latitude;longitude;data_atualizacao
1;Shania_Ward@gmail.com;deposit;Sq;Ghana back;false;true;11005;27213;2019-07-02
2;Hertha.Abbott86@yahoo.com;Games;Ir;Concrete 2;false;false;51879;55810;2019-07-02
3;Frank.Bergnaum96@yahoo.com;Quality-focused;ca;Computers ;false;false;27864;34507;2019-07-02
4;Dawson53@yahoo.com;Way Dominican Republic;Bu;Re-context;true;false;47030;63230;2019-07-01
5;Grayce.Lesch79@yahoo.com;Gloves Bedfordshire Argentine Peso;Ke;open-sourc;false;false;94052;69093;2019-07-02
6;Joseph.Wehner67@yahoo.com;bandwidth azure;SM;Bacon Desi;true;true;26082;24185;2019-07-01
7;Virgil_Treutel@gmail.com;deposit B2B cross-media;pr;invoice Un;true;true;60642;58068;2019-07-02
8;Barry_Weimann@yahoo.com;clear-thinking;La;Ports Mana;false;false;49389;32539;2019-07-02
9;Frederick_OConnell72@hotmail.com;local area network Benin;tu;Wisconsin;true;false;48674;89204;2019-07-02
10;Hosea_Schimmel@yahoo.com;North Dakota Cambridgeshire;Re;local Shoe;true;false;17711;99455;2019-07-02
