id;nome;email;ddd;telefone
1;Response Human;Neha_Armstrong33@yahoo.com;Ve;SDD disint
2;eco-centric Bedfordshire mesh;Tremayne_Sporer57@yahoo.com;In;Zambian Kw
3;Bedfordshire;Enid_Robel13@hotmail.com;ar;open-sourc
4;Sleek Beauty Auto Loan Account;Mabel.Bernier79@gmail.com;Hu;Tools Cali
5;North Dakota Garden;Carlee.Littel83@yahoo.com;TC;compressin
6;Brunei Darussalam interface;Okey96@hotmail.com;Cl;Iran
7;Philippine Peso Metal;Werner_Wisozk@gmail.com;Li;mindshare 
8;Chips;Rocio_Keebler40@gmail.com;Sa;ROI
9;Benin;Christ.Okuneva63@hotmail.com;Bu;paradigms 
10;Steel leading-edge Small;Alize_Hagenes70@gmail.com;Br;connect
